Orthogroup	Amel_filteredTranscripts	Apisu_filteredTranscripts	Brsri_filteredTranscripts	Csecu_filteredTranscripts	Dmela_filteredTranscripts	Samer_filteredTranscripts	Scanc_filteredTranscripts	Sgreg_filteredTranscripts	Sinvi_filteredTranscripts	Snite_filteredTranscripts	Spice_filteredTranscripts	Sscub_filteredTranscripts	Total
OG0006503	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006504	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006505	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006506	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006507	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006508	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006509	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006510	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006511	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006512	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006513	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006514	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006515	1	1	1	1	1	1	1	1	1	0	1	1	11
OG0006516	1	1	1	1	1	1	1	1	1	0	1	1	11
OG0006517	1	1	1	1	1	1	1	0	1	1	1	1	11
OG0006518	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006519	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006520	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006521	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006522	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006523	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006524	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006525	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006526	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006527	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006528	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006529	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006530	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006531	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006532	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006533	1	1	1	1	1	1	1	1	1	1	0	1	11
OG0006534	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006535	1	0	0	0	0	0	0	0	10	0	0	0	11
OG0006536	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006537	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006538	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006539	1	0	1	1	1	1	1	1	2	0	1	1	11
OG0006540	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006541	1	1	6	2	0	0	0	0	1	0	0	0	11
OG0006542	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006543	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006544	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006545	1	0	0	0	1	1	2	2	1	1	1	1	11
OG0006546	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006547	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006548	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006549	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006550	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006551	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006552	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006553	1	1	1	1	1	1	1	0	1	1	1	1	11
OG0006554	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006555	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006556	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006557	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006558	1	1	1	1	1	1	1	1	1	1	1	0	11
OG0006559	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006560	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006561	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006562	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006563	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006564	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006565	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006566	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006567	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006568	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006569	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006570	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006571	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006572	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006573	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006574	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006575	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006576	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006577	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006578	1	1	1	1	1	1	0	1	1	1	1	1	11
OG0006579	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006580	1	0	1	0	1	1	1	2	1	1	1	1	11
OG0006581	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006582	1	1	1	2	0	1	1	1	0	1	1	1	11
OG0006583	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006584	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006585	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006586	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006587	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006588	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006589	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006590	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006591	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006592	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006593	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006594	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006595	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006596	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006597	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006598	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006599	1	1	1	1	1	1	1	1	1	1	0	1	11
OG0006600	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006601	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006602	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006603	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006604	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006605	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006606	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006607	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006608	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006609	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006610	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006611	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006612	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006613	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006614	1	1	1	1	1	1	1	1	1	0	1	1	11
OG0006615	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006616	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006617	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006618	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006619	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006620	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006621	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006622	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006623	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006624	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006625	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006626	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006627	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006628	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006629	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006630	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006631	1	1	1	1	0	1	1	2	1	0	1	1	11
OG0006632	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006633	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006634	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006635	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006636	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006637	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006638	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006639	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006640	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006641	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006642	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006643	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006644	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006645	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006646	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006647	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006648	1	0	2	1	0	1	1	1	1	1	1	1	11
OG0006649	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006650	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006651	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006652	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006653	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006654	1	1	1	1	1	1	1	1	1	0	1	1	11
OG0006655	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006656	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006657	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006658	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006659	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006660	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006661	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006662	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006663	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006664	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006665	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006666	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006667	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006668	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006669	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006670	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006671	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006672	1	1	0	1	0	1	1	1	1	1	2	1	11
OG0006673	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006674	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006675	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006676	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006677	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006678	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006679	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006680	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006681	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006682	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006683	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006684	1	0	2	1	0	1	1	1	1	1	1	1	11
OG0006685	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006686	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006687	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006688	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006689	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006690	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006691	1	1	1	1	1	1	1	0	1	1	1	1	11
OG0006692	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006693	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006694	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006695	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006696	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006697	1	0	0	1	2	1	1	1	1	1	1	1	11
OG0006698	1	1	1	1	1	0	1	1	1	1	1	1	11
OG0006699	1	1	1	1	1	1	1	1	1	1	1	0	11
OG0006700	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006701	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006702	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006703	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006704	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006705	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006706	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006707	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006708	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006709	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006710	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006711	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006712	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006713	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006714	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006715	1	1	1	1	1	1	1	0	1	1	1	1	11
OG0006716	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006717	1	0	1	1	0	1	1	2	1	1	1	1	11
OG0006718	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006719	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006720	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006721	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006722	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006723	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006724	2	0	1	1	0	1	1	1	1	1	1	1	11
OG0006725	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006726	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006727	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006728	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006729	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006730	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006731	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006732	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006733	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006734	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006735	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006736	1	0	1	1	0	1	2	1	1	1	1	1	11
OG0006737	1	2	1	0	1	1	1	0	1	1	1	1	11
OG0006738	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006739	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006740	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006741	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006742	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006743	1	0	0	1	0	1	1	3	1	1	1	1	11
OG0006744	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006745	1	1	0	1	0	1	2	1	1	1	1	1	11
OG0006746	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006747	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006748	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006749	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006750	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006751	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006752	1	1	1	1	1	1	1	1	1	1	0	1	11
OG0006753	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006754	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006755	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006756	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006757	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006758	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006759	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006760	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006761	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006762	1	1	1	1	1	1	1	1	1	0	1	1	11
OG0006763	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006764	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006765	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006766	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006767	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006768	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006769	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006770	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006771	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006772	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006773	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006774	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006775	1	1	1	1	1	1	1	1	1	0	1	1	11
OG0006776	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006777	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006778	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006779	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006780	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006781	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006782	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006783	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006784	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006785	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006786	1	1	0	2	0	1	1	1	1	1	1	1	11
OG0006787	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006788	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006789	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006790	1	0	1	2	0	1	1	1	1	1	1	1	11
OG0006791	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006792	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006793	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006794	1	1	1	1	1	1	0	1	1	1	1	1	11
OG0006795	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006796	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006797	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006798	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006799	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006800	1	0	0	1	1	1	1	2	1	1	1	1	11
OG0006801	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006802	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006803	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006804	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006805	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006806	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006807	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006808	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006809	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006810	1	1	1	1	1	0	1	1	2	0	1	1	11
OG0006811	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006812	1	0	1	1	2	1	1	1	1	0	1	1	11
OG0006813	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006814	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006815	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006816	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006817	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006818	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006819	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006820	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006821	1	1	1	1	1	1	1	1	1	0	1	1	11
OG0006822	1	0	2	1	0	1	1	1	1	1	1	1	11
OG0006823	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006824	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006825	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006826	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006827	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006828	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006829	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006830	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006831	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006832	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006833	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006834	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006835	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006836	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006837	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006838	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006839	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006840	1	1	1	1	1	1	1	1	1	1	1	0	11
OG0006841	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006842	1	0	1	0	1	1	1	1	1	2	1	1	11
OG0006843	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006844	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006845	1	1	1	1	1	1	1	1	1	1	0	1	11
OG0006846	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006847	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006848	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006849	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006850	1	0	2	0	1	1	1	1	1	1	1	1	11
OG0006851	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006852	1	1	1	1	1	0	1	1	1	1	1	1	11
OG0006853	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006854	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006855	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006856	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006857	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006858	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006859	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006860	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006861	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006862	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006863	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006864	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006865	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006866	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006867	1	0	0	1	1	1	1	1	1	1	2	1	11
OG0006868	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006869	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006870	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006871	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006872	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006873	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006874	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006875	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006876	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006877	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006878	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006879	1	1	0	0	1	2	1	1	1	1	1	1	11
OG0006880	1	1	1	1	1	1	1	1	1	1	0	1	11
OG0006881	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006882	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006883	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006884	1	0	1	1	1	1	1	2	0	1	1	1	11
OG0006885	1	0	2	1	0	1	1	1	1	1	1	1	11
OG0006886	1	2	0	1	0	1	1	1	1	1	1	1	11
OG0006887	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006888	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006889	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006890	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006891	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006892	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006893	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006894	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006895	1	1	1	1	1	1	1	1	1	0	1	1	11
OG0006896	1	0	1	1	1	1	1	0	1	1	1	2	11
OG0006897	1	1	1	1	1	1	1	1	0	1	1	1	11
OG0006898	1	1	1	0	1	1	1	1	1	1	1	1	11
OG0006899	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006900	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006901	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006902	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006903	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006904	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006905	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006906	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006907	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006908	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006909	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006910	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006911	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006912	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006913	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006914	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006915	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006916	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006917	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006918	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006919	1	0	2	1	0	1	1	1	1	1	1	1	11
OG0006920	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006921	1	1	0	1	1	1	1	1	1	1	1	1	11
OG0006922	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006923	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006924	2	0	1	0	2	1	2	0	0	1	0	2	11
OG0006925	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006926	1	0	2	1	0	1	1	1	1	1	1	1	11
OG0006927	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006928	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006929	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006930	1	1	1	1	0	1	1	1	1	1	1	1	11
OG0006931	1	0	1	1	0	1	1	1	1	2	1	1	11
OG0006932	1	0	1	1	1	1	1	1	1	1	1	1	11
OG0006933	1	1	1	1	1	1	1	1	1	1	0	1	11
OG0006934	1	0	0	0	0	0	0	0	10	0	0	0	11
